event_id,event_ts,customer_id,event_type,device,source,product_id,session_id
30000001,2025-12-19 21:47:00,108424.0,session_start,ios,organic,200206,105830066
30000002,2025-12-10 23:20:00,100711.0,session_start,desktop,organic,200020,219418012
30000003,2026-03-31 10:04:00,105679.0,session_start,android,organic,200022,141733456
30000004,2026-02-17 09:59:00,105627.0,add_to_cart,android,context,200099,916860323
30000005,2026-03-01 22:34:00,107465.0,product_view,android,organic,200102,764236720
30000006,2025-09-03 10:40:00,109643.0,session_start,ios,direct,200075,925109203
30000007,2026-02-15 00:07:00,100177.0,session_start,android,social,200042,319474056
30000008,2026-05-29 05:58:00,103565.0,checkout_start,desktop,organic,200009,237447150
30000009,2026-05-13 13:00:00,107756.0,checkout_start,desktop,email,200136,345864453
30000010,2025-11-23 16:44:00,103322.0,add_to_cart,android,organic,200106,235338711
30000011,2025-07-18 04:42:00,105400.0,checkout_start,desktop,referral,200082,961740713
30000012,2025-09-01 12:00:00,100091.0,product_view,desktop,organic,200194,879598611
30000013,2025-06-07 09:27:00,107754.0,product_view,desktop,organic,200011,279855497
30000014,2025-01-08 14:09:00,101879.0,session_start,desktop,direct,200015,384829485
30000015,2025-09-16 09:57:00,100476.0,add_to_cart,desktop,context,200060,766525588
30000016,2025-05-23 21:15:00,100867.0,product_view,desktop,social,200180,554799596
30000017,2025-01-13 17:33:00,106359.0,session_start,android,organic,200110,278836855
30000018,2026-06-21 19:31:00,106290.0,product_view,android,email,200146,833108565
30000019,2026-04-16 18:56:00,100211.0,add_to_cart,desktop,referral,200190,287369015
30000020,2025-09-21 03:31:00,103154.0,product_view,android,organic,200115,392714128
30000021,2025-01-25 01:54:00,101124.0,product_view,desktop,social,200167,870903724
30000022,2026-01-02 13:44:00,108121.0,checkout_start,android,organic,200099,797989252
30000023,2025-03-31 13:46:00,109497.0,add_to_cart,android,social,200211,614885879
30000024,2025-02-11 10:13:00,100366.0,checkout_start,desktop,context,200203,325217653
30000025,2025-09-27 20:22:00,100323.0,product_view,ios,organic,200154,275318155
30000026,2025-05-15 13:18:00,100390.0,session_start,ios,direct,200226,217497724
30000027,2025-01-15 16:17:00,100521.0,checkout_start,ios,organic,200214,528174034
30000028,2025-04-03 02:44:00,108946.0,purchase,ios,direct,200054,886289502
30000029,2025-10-04 20:38:00,101910.0,product_view,ios,organic,200226,863571224
30000030,2026-03-01 11:27:00,100100.0,product_view,android,direct,200203,672022497
30000031,2025-03-12 20:40:00,106302.0,checkout_start,desktop,social,200088,393932313
30000032,2025-05-09 11:00:00,107638.0,purchase,desktop,direct,200240,369965999
30000033,2026-03-19 21:42:00,101682.0,session_start,android,organic,200204,857597097
30000034,2025-10-05 08:55:00,102947.0,purchase,android,social,200164,726347188
30000035,2026-02-15 16:10:00,104457.0,product_view,desktop,context,200241,853457529
30000036,2025-01-27 00:29:00,101325.0,session_start,android,organic,200243,346905071
30000037,2026-02-16 08:30:00,106813.0,add_to_cart,android,context,200034,926591130
30000038,2025-01-02 10:00:00,103780.0,checkout_start,desktop,email,200142,665415553
30000039,2025-02-25 01:59:00,109685.0,product_view,android,direct,200083,252782970
30000040,2026-04-21 19:41:00,106049.0,add_to_cart,ios,organic,200003,991398272
30000041,2025-08-15 05:58:00,106101.0,product_view,ios,email,200020,987254942
30000042,2025-08-22 20:45:00,109863.0,product_view,desktop,organic,200200,357587208
30000043,2025-04-05 00:25:00,109534.0,product_view,desktop,social,200017,878536252
30000044,2025-11-16 13:16:00,103125.0,session_start,android,context,200240,316397678
30000045,2025-12-07 12:39:00,101760.0,product_view,android,organic,200117,602481576
30000046,2025-11-05 03:24:00,106744.0,product_view,android,context,200079,982838963
30000047,2025-01-24 11:56:00,107516.0,checkout_start,ios,email,200173,150287117
30000048,2025-07-12 11:02:00,107989.0,product_view,ios,social,200067,804991298
30000049,2025-06-10 07:53:00,102027.0,session_start,android,organic,200064,433490664
30000050,2026-02-19 06:14:00,108932.0,add_to_cart,ios,direct,200051,362756678
30000051,2026-04-16 00:21:00,105052.0,add_to_cart,ios,context,200174,107925086
30000052,2025-06-21 12:40:00,107795.0,product_view,desktop,email,200085,457740536
30000053,2026-04-13 00:37:00,106913.0,product_view,android,organic,200125,667103945
