product_id,product_name,category,subcategory,brand,list_price,price_tier
200001,Ноутбуки Nova 200001,Electronics,Ноутбуки,Lumo,2180.0,budget
200002,Ноутбуки Nord 200002,Electronics,Ноутбуки,HomeLab,860.0,premium
200003,Ноутбуки Aster 200003,Electronics,Ноутбуки,Nord,9770.0,budget
200004,Ноутбуки Urban 200004,Electronics,Ноутбуки,HomeLab,920.0,standard
200005,Ноутбуки Pulse 200005,Electronics,Ноутбуки,Pulse,3240.0,standard
200006,Ноутбуки Aster 200006,Electronics,Ноутбуки,Nova,1770.0,standard
200007,Ноутбуки Nova 200007,Electronics,Ноутбуки,Vega,2110.0,budget
200008,Ноутбуки Urban 200008,Electronics,Ноутбуки,TechnoLab,7590.0,standard
200009,Ноутбуки Lumo 200009,Electronics,Ноутбуки,HomeLab,5250.0,budget
200010,Ноутбуки Lumo 200010,Electronics,Ноутбуки,Urban,4170.0,standard
200011,Ноутбуки Nord 200011,Electronics,Ноутбуки,Orion,4540.0,premium
200012,Ноутбуки Orion 200012,Electronics,Ноутбуки,Lumo,1760.0,standard
200013,Ноутбуки Lumo 200013,Electronics,Ноутбуки,Pulse,4300.0,premium
200014,Смартфоны Nord 200014,Electronics,Смартфоны,Lumo,14450.0,standard
200015,Смартфоны Vega 200015,Electronics,Смартфоны,Nova,7990.0,standard
200016,Смартфоны Urban 200016,Electronics,Смартфоны,TechnoLab,9010.0,standard
200017,Смартфоны HomeLab 200017,Electronics,Смартфоны,Urban,8280.0,premium
200018,Смартфоны TechnoLab 200018,Electronics,Смартфоны,TechnoLab,1030.0,premium
200019,Смартфоны Ridge 200019,Electronics,Смартфоны,Pulse,7430.0,premium
200020,Смартфоны Mira 200020,Electronics,Смартфоны,Aster,3300.0,premium
200021,Смартфоны Mira 200021,Electronics,Смартфоны,HomeLab,6450.0,premium
200022,Смартфоны Pulse 200022,Electronics,Смартфоны,Pulse,3670.0,premium
200023,Смартфоны Ridge 200023,Electronics,Смартфоны,Vega,1850.0,standard
200024,Смартфоны Nord 200024,Electronics,Смартфоны,TechnoLab,2230.0,budget
200025,Смартфоны Orion 200025,Electronics,Смартфоны,Ridge,6450.0,budget
200026,Смартфоны Vega 200026,Electronics,Смартфоны,Pulse,4530.0,premium
200027,Наушники Orion 200027,Electronics,Наушники,Urban,2400.0,budget
200028,Наушники Nord 200028,Electronics,Наушники,Nova,4990.0,premium
200029,Наушники Aster 200029,Electronics,Наушники,Vega,6090.0,premium
200030,Наушники Nova 200030,Electronics,Наушники,Urban,2290.0,standard
200031,Наушники Nova 200031,Electronics,Наушники,Mira,1260.0,standard
200032,Наушники Nord 200032,Electronics,Наушники,Nova,2100.0,standard
200033,Наушники TechnoLab 200033,Electronics,Наушники,Ridge,11500.0,standard
200034,Наушники Nord 200034,Electronics,Наушники,Nova,2940.0,budget
200035,Наушники HomeLab 200035,Electronics,Наушники,Nova,4060.0,budget
200036,Наушники TechnoLab 200036,Electronics,Наушники,Aster,950.0,premium
200037,Наушники TechnoLab 200037,Electronics,Наушники,Vega,1480.0,premium
200038,Наушники Aster 200038,Electronics,Наушники,Urban,4780.0,premium
200039,Наушники Aster 200039,Electronics,Наушники,HomeLab,1190.0,standard
200040,Мониторы HomeLab 200040,Electronics,Мониторы,Urban,500.0,premium
200041,Мониторы TechnoLab 200041,Electronics,Мониторы,TechnoLab,1330.0,standard
200042,Мониторы Nova 200042,Electronics,Мониторы,Aster,3460.0,standard
200043,Мониторы Pulse 200043,Electronics,Мониторы,Urban,3630.0,standard
200044,Мониторы Pulse 200044,Electronics,Мониторы,Orion,2230.0,standard
200045,Мониторы Nord 200045,Electronics,Мониторы,Orion,3010.0,standard
200046,Мониторы Pulse 200046,Electronics,Мониторы,Orion,14150.0,premium
200047,Мониторы HomeLab 200047,Electronics,Мониторы,Nord,7630.0,premium
